"ID","scale","Slice","Rep","AntMandibles","ChainTip","WoodenStick","Platform","gapheight","distancefromtip","from","to"
"A8_27_50",13.01334,4031,"50_S5_T2",21.3626939740297,37.5639920266434,12.9738406896308,62.9738406896308,50,16.2012980526137,4007,4055
"A7_32_50",12.9,1954,"50_S5_T3",28.2945736434109,39.6511627906977,13.6046511627907,63.5271317829457,50,11.3565891472868,1930,1978
"A10_34_50",12.9,3178,"50_S5_T3",43.3333333333333,53.9922480620155,13.6046511627907,63.4496124031008,50,10.6589147286822,3154,3202
"A6_41_50",12.68666,2572,"50_S8_T2",32.5538794292588,48.8308191438881,16.0404708567897,65.7251790463369,50,16.2769397146294,2548,2596
"A3_50_50",12.68666,1423,"50_S8_T2",25.3021677888428,37.6379598728113,16.1192938094029,65.6989310031167,50,12.3357920839685,1399,1447
