"RepName","GapHeight","Subject","Behavior","Join","Leave","tstart_j","tstop_j","tstart_l","tstop_l","maxSliceR","Extend","SliceR_start_j","SliceR_stop_j","SliceR_start_l","SliceR_stop_l","gaplength_j","gaplength_latency","gaplength_l","latency_tojoin","traf_join_down","traf_join_up","time_spent","traf_leave_down","traf_leave_up"
"25_S4_T4","25","A5","Extension",1,1,70.305,70.323,NA,NA,2618,0,1447,1447,NA,NA,13.68213,13.68213,NA,0.0179999999999865,0,0,NA,NA,NA
"25_S4_T4","25","A6","Pausing",1,0,101.562,106.401,106.401,119.04,2618,0,2197,2313,2313,2616,16.8273373333333,16.8273373333333,10.9383308190789,4.839,0,0,12.639,0.237360550676477,0
"25_S4_T4","25","A6","Extension",1,0,101.562,106.401,NA,NA,2618,0,2197,2313,NA,NA,16.8273373333333,16.8273373333333,NA,4.839,0,0,NA,NA,NA
"25_S4_T4","25","A8","Pausing",1,0,109.147,110.816,110.816,119.04,2618,0,2379,2419,2419,2616,12.0082190243902,12.0082190243902,9.58875909090909,1.669,0.599161174355903,0,8.224,0.1215953307393,0
"25_S4_T4","25","A8","Extension",1,0,109.147,110.816,NA,NA,2618,0,2379,2419,NA,NA,12.0082190243902,12.0082190243902,NA,1.669,0.599161174355903,0,NA,NA,NA
"25_S4_T4","25","A7","ChainBottom",0,0,109.898,118.395,NA,NA,2618,1,2397,2601,NA,NA,9.9571712195122,9.9571712195122,NA,8.497,0.11768859597505,0,NA,NA,NA
"25_S4_T4","25","A7","Extension",0,0,109.898,117.648,117.648,118.395,2618,1,2397,2583,2583,2601,10.0758170588235,10.0758170588235,8.75991947368421,7.75,0.129032258064516,0,0.747,0,0
"25_S4_T4","25","A9","ChainBottom",0,0,117.483,119.04,NA,NA,2618,0,2579,2616,NA,NA,8.52132921052631,8.52132921052631,NA,1.557,0,0,NA,NA,NA
"25_S4_T4","25","A9","Extension",0,0,117.483,119.04,NA,NA,2618,0,2579,2616,NA,NA,8.52132921052631,8.52132921052631,NA,1.557,0,0,NA,NA,NA
"25_S5_T2","25","A2","ChainBottom",0,0,27.017,33.606,NA,NA,2018,0,408,566,NA,NA,15.2261512955975,15.2261512955975,NA,6.589,0,0,NA,NA,NA
"25_S5_T2","25","A2","Extension",0,0,27.017,33.606,NA,NA,2018,0,408,566,NA,NA,15.2261512955975,15.2261512955975,NA,6.589,0,0,NA,NA,NA
"25_S5_T2","25","A3","ChainBottom",0,0,39.537,46.602,NA,NA,2018,1,708,878,NA,NA,14.2525373099415,14.2525373099415,NA,7.065,0,0,NA,NA,NA
"25_S5_T2","25","A3","Extension",0,0,39.537,40.107,40.107,45.362,2018,1,708,722,722,848,14.987,14.987,14.3277185826772,0.57,0,0,5.255,0,0
"25_S5_T2","25","A4","Pausing",1,0,46.854,49.36,49.36,94.04,2018,0,884,944,944,2016,13.7017086885246,13.7017086885246,11.2572485927307,2.506,0.399042298483639,0,44.68,0.201432408236347,0.111906893464637
"25_S5_T2","25","A4","Extension",1,0,46.854,49.36,NA,NA,2018,0,884,944,NA,NA,13.7017086885246,13.7017086885246,NA,2.506,0.399042298483639,0,NA,NA,NA
"25_S5_T2","25","A5","Pausing",1,0,47.77,55.019,55.019,94.04,2018,1,906,1080,1080,2016,13.1333566285714,13.1333566285714,11.0087579615795,7.249,0,0,39.021,0.230645037287614,0.128136131826452
"25_S5_T2","25","A5","Extension",1,0,47.77,48.686,48.686,51.686,2018,1,906,928,928,1000,13.7214839130435,13.7214839130435,13.6211565753425,0.915999999999997,0,0,3,0,0
"25_S5_T2","25","A6","ChainBottom",0,0,59.519,65.77,NA,NA,2018,0,1188,1338,NA,NA,10.6121371523179,10.6121371523179,NA,6.251,0.159974404095345,0,NA,NA,NA
"25_S5_T2","25","A6","Extension",0,0,59.519,65.77,NA,NA,2018,0,1188,1338,NA,NA,10.6121371523179,10.6121371523179,NA,6.251,0.159974404095345,0,NA,NA,NA
"25_S5_T2","25","A7","ChainBottom",0,0,62.603,76.858,NA,NA,2018,0,1262,1604,NA,NA,10.8247088921283,10.8247088921283,NA,14.255,0.14030164854437,0.0701508242721852,NA,NA,NA
"25_S5_T2","25","A7","Extension",0,0,62.603,76.858,NA,NA,2018,0,1262,1604,NA,NA,10.8247088921283,10.8247088921283,NA,14.255,0.14030164854437,0.0701508242721852,NA,NA,NA
"25_S5_T2","25","A8","ChainBottom",0,0,70.603,79.854,NA,NA,2018,0,1454,1676,NA,NA,11.2315019282511,11.2315019282511,NA,9.251,0.216192844016863,0.108096422008431,NA,NA,NA
"25_S5_T2","25","A8","Extension",0,0,70.603,79.854,NA,NA,2018,0,1454,1676,NA,NA,11.2315019282511,11.2315019282511,NA,9.251,0.216192844016863,0.108096422008431,NA,NA,NA
"25_S5_T2","25","A9","ChainBottom",0,0,73.608,85.353,NA,NA,2018,0,1526,1808,NA,NA,11.8988269964664,11.8988269964664,NA,11.745,0.255427841634738,0.170285227756492,NA,NA,NA
"25_S5_T2","25","A9","Extension",0,0,73.608,85.353,NA,NA,2018,0,1526,1808,NA,NA,11.8988269964664,11.8988269964664,NA,11.745,0.255427841634738,0.170285227756492,NA,NA,NA
"25_S5_T2","25","A10","ChainBottom",0,0,78.109,94.04,NA,NA,2018,1,1634,2016,NA,NA,11.0223634986945,11.0223634986945,NA,15.931,0.251082794551503,0.188312095913627,NA,NA,NA
"25_S5_T2","25","A10","Extension",0,0,78.109,89.191,89.191,91.522,2018,1,1634,1900,1900,1956,12.1015833707865,12.1015833707865,10.1564801754386,11.082,0.270709258256632,0.270709258256632,2.331,0.429000429000428,0
"25_S5_T2","25","A11","Pausing",1,0,81.104,88.103,88.103,94.04,2018,0,1706,1874,1874,2016,12.3544355029586,12.3544355029586,8.98977503496504,6.999,0.142877553936277,0.285755107872553,5.93700000000001,0.336870473303014,0
"25_S5_T2","25","A11","Extension",1,0,81.104,88.103,NA,NA,2018,0,1706,1874,NA,NA,12.3544355029586,12.3544355029586,NA,6.999,0.142877553936277,0.285755107872553,NA,NA,NA
"25_S5_T2","25","A12","ChainBottom",0,0,83.301,86.026,NA,NA,2018,0,1759,1824,NA,NA,12.428175,12.428175,NA,2.72499999999999,0,0.366972477064221,NA,NA,NA
"25_S5_T2","25","A12","Extension",0,0,83.301,86.026,NA,NA,2018,0,1759,1824,NA,NA,12.428175,12.428175,NA,2.72499999999999,0,0.366972477064221,NA,NA,NA
"25_S5_T2","25","A13","ChainBottom",0,0,89.024,93.021,NA,NA,2018,0,1896,1992,NA,NA,9.14070412371134,9.14070412371134,NA,3.997,0.250187640730548,0,NA,NA,NA
"25_S5_T2","25","A13","Extension",0,0,89.024,93.021,NA,NA,2018,0,1896,1992,NA,NA,9.14070412371134,9.14070412371134,NA,3.997,0.250187640730548,0,NA,NA,NA
"25_S5_T2","25","A14","ChainBottom",0,0,90.436,94.04,NA,NA,2018,0,1930,2016,NA,NA,7.83446793103448,7.83446793103448,NA,3.604,0,0,NA,NA,NA
"25_S5_T2","25","A14","Extension",0,0,90.436,94.04,NA,NA,2018,0,1930,2016,NA,NA,7.83446793103448,7.83446793103448,NA,3.604,0,0,NA,NA,NA
"25_S5_T3","25","A1","Pausing",1,0,27.732,31.984,31.984,83.04,1754,0,425,527,527,1752,17.4295413495146,17.4295413495146,12.4785951060359,4.252,0,0,51.056,0.0783453462864306,0
"25_S5_T3","25","A1","Extension",1,0,27.732,31.984,NA,NA,1754,0,425,527,NA,NA,17.4295413495146,17.4295413495146,NA,4.252,0,0,NA,NA,NA
"25_S5_T3","25","A2","Pausing",1,0,40.727,42.978,42.978,83.04,1754,0,737,791,791,1752,12.2883534545455,12.2883534545455,11.8380335239085,2.251,0,0,40.062,0.0748839299086416,0
"25_S5_T3","25","A2","Extension",1,0,40.727,42.978,NA,NA,1754,0,737,791,NA,NA,12.2883534545455,12.2883534545455,NA,2.251,0,0,NA,NA,NA
"25_S5_T3","25","A3","Pausing",1,0,66.902,70.479,70.479,83.04,1754,0,1365,1451,1451,1752,12.1698195402299,12.1698195402299,10.3938656953642,3.577,0,0,12.561,0.159222991800016,0
"25_S5_T3","25","A3","Extension",1,0,66.902,70.479,NA,NA,1754,0,1365,1451,NA,NA,12.1698195402299,12.1698195402299,NA,3.577,0,0,NA,NA,NA
"25_S5_T3","25","A4","ChainBottom",0,0,77.397,81.9,NA,NA,1754,1,1617,1725,NA,NA,9.46021614678899,9.46021614678899,NA,4.503,0.222074172773706,0,NA,NA,NA
"25_S5_T3","25","A4","Extension",0,0,77.397,80.893,80.893,81.9,1754,1,1617,1701,1701,1725,9.58258329411765,9.58258329411765,9.0348016,3.496,0.286041189931351,0,1.00700000000001,0,0
"25_S5_T3","25","A5","ChainBottom",0,0,79.736,83.04,NA,NA,1754,0,1673,1752,NA,NA,9.019818625,9.019818625,NA,3.304,0,0,NA,NA,NA
"25_S5_T3","25","A5","Extension",0,0,79.736,83.04,NA,NA,1754,0,1673,1752,NA,NA,9.019818625,9.019818625,NA,3.304,0,0,NA,NA,NA
"25_S9_T6","25","A1","Pausing",1,0,48.691,50.935,50.935,79.04,1658,0,928,982,982,1656,16.3561664363636,16.3561664363636,11.7195858474074,2.244,0,0,28.105,0.177904287493329,0.0355808574986657
"25_S9_T6","25","A1","Extension",1,0,48.691,50.935,NA,NA,1658,0,928,982,NA,NA,16.3561664363636,16.3561664363636,NA,2.244,0,0,NA,NA,NA
"25_S9_T6","25","A2","Pausing",1,0,51.859,56.858,56.858,79.04,1658,1,1004,1124,1124,1656,14.4382244545455,14.4382244545455,10.9067875046904,4.999,0,0,22.182,0.180326390767289,0.0450815976918222
"25_S9_T6","25","A2","Extension",1,0,51.859,53.853,53.853,56.858,1658,1,1004,1052,1052,1124,16.3633045714286,16.3633045714286,13.1693260410959,1.994,0,0,3.005,0,0
"25_S9_T6","25","A3","Pausing",1,0,57.936,58.437,58.437,79.04,1658,0,1150,1162,1162,1656,11.5832076923077,11.5832076923077,10.8542374545455,0.500999999999998,0,0,20.603,0.145609862641363,0.0485366208804543
"25_S9_T6","25","A3","Extension",1,0,57.936,58.437,NA,NA,1658,0,1150,1162,NA,NA,11.5832076923077,11.5832076923077,NA,0.500999999999998,0,0,NA,NA,NA
"25_S9_T6","25","A4","Pausing",1,0,58.609,69.103,69.103,79.04,1658,1,1166,1418,1418,1656,11.5537165217391,11.5537165217391,10.1053740167364,10.494,0.190585096245474,0,9.93700000000001,0,0.100633994163228
"25_S9_T6","25","A4","Extension",1,0,58.609,63.777,63.777,68.603,1658,1,1166,1290,1290,1406,11.44292392,11.44292392,11.658105042735,5.168,0,0,4.82599999999999,0.414421881475342,0
"25_S9_T6","25","A5","ChainBottom",0,0,64.861,77.358,NA,NA,1658,0,1316,1616,NA,NA,11.0356152491694,11.0356152491694,NA,12.497,0.0800192046091062,0,NA,NA,NA
"25_S9_T6","25","A5","Extension",0,0,64.861,77.358,NA,NA,1658,0,1316,1616,NA,NA,11.0356152491694,11.0356152491694,NA,12.497,0.0800192046091062,0,NA,NA,NA
