RepName,GapHeight,gaplength,Scaled_y,tip_y,tip_distance
50_S8_T2,50,14.18839988,38.83138928,35.81160012,-3.019789155
50_S8_T2,50,9.95004633,43.17567385,40.04995367,-3.12572018
50_S13_T4,50,40.57760787,6.830798348,9.422392134,2.591593786
50_S13_T4,50,41.20692987,8.200623324,8.793070127,0.592446803
50_S13_T4,50,37.72677695,9.607545644,12.27322305,2.665677404
50_S13_T4,50,35.7275189,9.218801023,14.2724811,5.053680079
50_S13_T4,50,35.11663449,16.66048378,14.88336551,-1.777118269
50_S13_T4,50,33.39505117,17.43797302,16.60494883,-0.833024189
50_S13_T4,50,27.28620712,15.21657518,22.71379288,7.497217699
50_S13_T4,50,22.67680661,24.21323642,27.32319339,3.109956972
50_S13_T4,50,22.62127166,29.2669165,27.37872834,-1.888188161
50_S13_T4,50,23.06555123,12.49536283,26.93444877,14.43908594
50_S13_T4,50,22.7878765,26.43463426,27.2121235,0.777489243
50_S13_T4,50,17.12331202,27.9340778,32.87668798,4.942610187
50_S13_T4,50,6.793812074,18.04885742,43.20618793,25.1573305
50_S13_T4,50,7.793441101,43.03958309,42.2065589,-0.833024189
