"Rep","time","mintime","chainlength","gaplength","from","to","step","time_adj"
"Chain1",0,0,6.01412765957447,27.5744680851064,0,10,1,0
"Chain1",10,0,7.47514893617021,26,10,20,2,10
"Chain1",20,0,5.94323404255319,27.2482553191489,20,30,3,20
"Chain1",30,0,15.6595744680851,17.4751489361702,30,40,4,30
"Chain1",40,0,24.1134468085106,10.780170212766,40,50,5,40
"Chain1",50,0,24.4964255319149,14.7659574468085,50,60,6,50
"Chain1",60,0,26.0283404255319,13.3474893617021,60,70,7,60
"Chain1",70,0,27.3900425531915,11.9291063829787,70,80,8,70
"Chain1",80,0,34.9645106382979,10.1418723404255,80,90,9,80
"Chain1",90,0,33.5177021276596,13.2908085106383,90,100,10,90
"Chain1",100,0,37.8581276595745,10.5389787234043,100,110,11,100
"Chain1",110,0,39.5177021276596,11.1205957446809,110,120,12,110
"Chain1",120,0,37.2623829787234,13.4893617021277,120,130,13,120
"Chain1",130,0,35.8155744680851,14.8227234042553,130,140,14,130
"Chain1",140,0,37.4325957446809,13.2057021276596,140,150,15,140
"Chain1",150,0,38.1985531914894,12.3829787234043,150,160,16,150
"Chain1",160,0,37.8581276595745,12.8368510638298,160,170,17,160
"Chain1",170,0,39.0496170212766,12.3262127659574,170,180,18,170
"Chain1",180,0,35.4893617021277,16.0566808510638,180,190,19,180
"Chain1",190,0,30.1985531914894,21.4610212765957,190,200,20,190
"Chain1",200,0,29.3049361702128,22.2978723404255,200,210,21,200
"Chain1",210,0,30.1985531914894,21.5177021276596,210,220,22,210
"Chain1",220,0,29.6028085106383,22.1134468085106,220,230,23,220
"Chain1",230,0,26.4538723404255,25.3191489361702,230,240,24,230
"Chain1",240,0,31.9006808510638,19.7021276595745,240,250,25,240
"Chain1",250,0,35.8155744680851,15.7872340425532,250,260,26,250
"Chain1",260,0,37.687914893617,16.2411063829787,260,270,27,260
"Chain1",270,0,37.1772765957447,17.1489361702128,270,280,28,270
"Chain1",280,0,52.0708936170213,10.4255319148936,280,290,29,280
"Chain1",290,0,56.4113191489362,8.75174468085106,290,300,30,290
"Chain1",300,0,62.2411063829787,7.26238297872342,300,310,31,300
"Chain1",310,0,59.219829787234,11.9857872340426,310,320,32,310
"Chain1",320,0,61.9432340425532,9.26238297872342,320,330,33,320
"Chain1",330,0,61.2623829787234,11.4184680851064,330,340,34,330
"Chain1",340,0,57.6028085106383,15.0780425531915,340,350,35,340
"Chain1",350,0,58.5389787234043,14.5389787234043,350,360,36,350
"Chain1",360,0,60.8368510638298,12.3546382978723,360,370,37,360
"Chain1",370,0,63.219829787234,10.6525106382979,370,380,38,370
"Chain1",380,0,68.4113191489362,10.0567659574468,380,390,39,380
"Chain1",390,0,68.4822127659575,12.9929361702128,390,400,40,390
"Chain1",400,0,69.2623829787234,12.156,400,410,41,400
"Chain1",410,0,71.5602553191489,12.5248510638298,410,420,42,410
"Chain1",420,0,69.6028085106383,14.8794042553192,420,430,43,420
"Chain1",430,0,68.2411063829787,16.3546382978723,430,440,44,430
"Chain1",440,0,70.4538723404255,13.8581276595745,440,450,45,440
