"RepName","start","to","chainlength","change","traf_up","traf_down","traf_bottom_down","traf_bottom_up"
"35_S5_T3",120,129.083333333333,25.0324458256881,1.81981,0,0,0,0
"35_S5_T3",20,30,14.4261947083333,2.09978,1,0,1,0
"35_S5_T3",30,40,16.4936084583333,3.9196,0,1,0,0
"35_S5_T3",40,50,19.6225802083333,0.629940000000001,0,0,1,0
"35_S5_T3",50,60,20.00579225,0.0699900000000007,1,1,0,0
"35_S5_T3",60,70,18.710339625,-2.51974,0,1,0,1
"35_S5_T3",70,80,17.358021375,1.67982,2,1,2,1
"35_S5_T3",80,90,20.2889705416667,1.53985,1,1,1,1
"35_S5_T3",90,100,21.371232625,2.93969,0,1,2,0
"35_S5_T4",10,20,6.29772940416667,2.594995,0,1,0,0
"35_S5_T4",100,110,19.3859675416667,1.038,0,0,0,0
"35_S5_T4",110,120,20.1855507083333,1.42725,0,0,0,1
"35_S5_T4",120,130,21.0351392916667,-1.42725,0,1,0,1
"35_S5_T4",130,140,19.2510800833333,-0.583869999999997,1,0,0,0
"35_S5_T4",140,150,18.5342124583333,-0.778500000000001,0,0,0,0
"35_S5_T4",150,160,19.9498377916667,5.64411,0,2,2,0
"35_S5_T4",160,170,26.5635607083333,3.82762,1,0,0,0
"35_S5_T4",170,180,25.343914375,-2.72474,1,1,1,1
"35_S5_T4",180,190,26.3137929166667,2.07599,0,0,1,1
"35_S5_T4",190,200,27.8626825416667,1.038,0,0,0,0
"35_S5_T4",20,30,7.7528188875,2.140872,0,1,1,0
"35_S5_T4",200,210,24.8111284166667,-5.25487,1,0,0,1
"35_S5_T4",210,220,22.9054284166667,2.595,0,0,2,0
"35_S5_T4",220,227.083333333333,27.6481481764706,4.93049,0,0,0,0
"35_S5_T4",30,40,12.7562939791667,5.060244,0,1,1,0
"35_S5_T4",40,50,14.8214786666667,-0.389249999999999,0,0,0,0
"35_S5_T4",50,60,13.4874882916667,0.194619999999999,0,1,1,0
"35_S5_T4",60,70,14.5830647916667,0.12975,0,0,1,1
"35_S5_T4",70,80,14.817425,0.843380000000002,0,0,0,0
"35_S5_T4",80,90,16.9136929166667,2.98424,0,0,1,0
"35_S5_T4",90,100,18.2795794583333,0.45412,0,0,0,0
"35_S9_T5",10,20,0.8045368485,0.5584096,0,1,0,0
"35_S9_T5",100,110,13.8808127916667,-0.704089999999999,3,2,1,1
"35_S9_T5",110,120,14.1468001666667,3.28574,0,1,2,0
"35_S9_T5",120,130,17.2152025833333,0.704089999999997,1,1,2,0
"35_S9_T5",130,140,19.5296423333333,3.52044,0,0,1,0
"35_S9_T5",140,150,19.7970985,0.352039999999999,0,2,0,0
"35_S9_T5",150,160,21.7988565833333,-0.234690000000001,1,3,0,1
"35_S9_T5",160,170,22.0005487083333,1.70154,0,1,0,0
"35_S9_T5",170,180,22.80535925,0.704090000000001,0,4,2,0
"35_S9_T5",180,190,25.031544625,3.05104,1,0,1,0
"35_S9_T5",190,200,28.3297531666667,1.93624,0,2,2,1
"35_S9_T5",20,30,0.518315732916667,0.4107174,1,2,0,0
"35_S9_T5",200,203.083333333333,29.1278508108108,1.11481,0,1,0,0
"35_S9_T5",30,40,2.73113299104167,-0.88010877,0,1,0,0
"35_S9_T5",40,50,8.08896279329167,9.85721877,0,3,0,0
"35_S9_T5",50,60,9.29788988333333,-1.349501,1,4,0,0
"35_S9_T5",60,70,9.055615525,0.176022,1,2,0,0
"35_S9_T5",70,80,7.7393639,-1.760217,2,1,2,0
"35_S9_T5",80,90,9.3257584375,6.454133,0,4,2,0
"35_S9_T5",90,100,14.3770945833333,0.64541,1,4,1,2
"50_S13_T4",10,20,4.36372420833333,4.265684,1,4,1,0
"50_S13_T4",100,110,28.2113315,2.35736,1,3,4,4
"50_S13_T4",110,120,29.6243425,-0.224510000000002,3,5,2,3
"50_S13_T4",120,130,30.2590478333333,1.90833,0,2,5,1
"50_S13_T4",130,140,32.9480203333333,3.03088,0,1,2,0
"50_S13_T4",140,150,33.1790777083333,-1.34706,1,1,3,3
"50_S13_T4",150,160,34.85027025,2.91863,1,3,1,1
"50_S13_T4",160,170,38.1561770416667,5.50049,0,1,2,1
"50_S13_T4",170,180,42.1636769583333,1.57156,1,1,2,0
"50_S13_T4",180,190,44.2670513333333,3.03089,1,2,1,0
"50_S13_T4",190,191.125,46.4036848148148,0.673520000000003,0,0,0,0
"50_S13_T4",20,30,8.709390375,3.928924,2,3,2,2
"50_S13_T4",30,40,10.4596327083333,-0.336770000000001,2,6,4,3
"50_S13_T4",40,50,10.7103328375,1.57157,3,4,4,4
"50_S13_T4",50,60,11.7093980833333,0.561269999999999,1,4,4,2
"50_S13_T4",60,70,14.8806009583333,5.83726,1,4,5,1
"50_S13_T4",70,80,18.1299129583333,0.224509999999999,2,2,4,6
"50_S13_T4",80,90,20.787078,5.16372,0,5,6,1
"50_S13_T4",90,100,25.5434081666667,3.81667,0,3,6,2
"50_S5_T2",10,20,3.471657575,1.858191,3,1,0,0
"50_S5_T2",100,110,19.949236625,-0.541969999999999,1,3,1,1
"50_S5_T2",110,120,17.246148375,-5.80685,2,3,2,2
"50_S5_T2",120,130,14.922763,2.47759,1,6,4,3
"50_S5_T2",130,140,17.15452975,1.47107,4,2,7,1
"50_S5_T2",140,150,20.9034954166667,3.87123,3,3,2,2
"50_S5_T2",150,160,24.864411,4.18093,3,3,1,1
"50_S5_T2",160,170,25.4970336666667,-1.31622,1,1,4,2
"50_S5_T2",170,180,25.1186208333333,2.70986,3,3,1,2
"50_S5_T2",180,190,28.1501186666667,0.774250000000002,2,3,3,3
"50_S5_T2",190,200,27.8362259166667,1.47107,0,3,3,2
"50_S5_T2",20,30,4.2607439125,1.935617,1,3,0,0
"50_S5_T2",200,210,32.75527225,5.18745,0,3,2,2
"50_S5_T2",210,220,35.3109299583333,1.08394,1,2,2,0
"50_S5_T2",220,230,35.0970463333333,-1.70334,1,3,0,1
"50_S5_T2",230,240,34.99252225,3.17440999999999,3,5,6,0
"50_S5_T2",240,250,40.911636375,5.11002,2,4,4,0
"50_S5_T2",250,254.083333333333,43.7839067346939,2.09047,0,5,1,0
"50_S5_T2",30,40,7.08706624583333,1.316219,0,4,0,0
"50_S5_T2",40,50,6.01247660833333,2.555013,5,2,0,0
"50_S5_T2",50,60,10.1221123916667,0.387127,1,4,1,0
"50_S5_T2",60,70,10.6986039208333,2.86471,0,1,1,1
"50_S5_T2",70,80,13.9336617916667,4.4132,1,4,1,0
"50_S5_T2",80,90,18.3436415833333,1.16137,2,3,2,3
"50_S5_T2",90,100,19.8640670833333,1.93562,1,2,0,0
"50_S5_T3",10,20,7.02666558333333,3.997185,0,2,0,0
"50_S5_T3",100,110,33.248070625,6.34847,1,2,3,0
"50_S5_T3",110,120,35.5422079166667,-1.80265,0,2,2,0
"50_S5_T3",120,130,36.6802944166667,5.79984,1,1,2,1
"50_S5_T3",130,140,41.2287262916667,1.0189,0,1,1,0
"50_S5_T3",140,150,41.5412504166667,1.48914,0,3,2,1
"50_S5_T3",150,155.083333333333,43.6502449180328,1.56753,0,0,1,0
"50_S5_T3",20,30,10.5735137583333,2.664789,1,2,3,1
"50_S5_T3",30,40,12.8202992083333,1.56753,0,3,1,0
"50_S5_T3",40,50,13.3032925833333,-1.41078,2,1,0,2
"50_S5_T3",50,60,10.1159932666667,-3.683677,1,6,5,2
"50_S5_T3",60,70,11.19889125,5.486333,0,2,2,1
"50_S5_T3",70,80,16.8289140833333,5.48633,0,0,3,0
"50_S5_T3",80,90,24.813487125,9.48352,2,2,0,0
"50_S5_T3",90,100,29.027188125,0.627009999999999,1,2,2,0
"50_S5_T7",10,20,7.11393927083333,0.732237,2,1,0,0
"50_S5_T7",100,110,21.897678,1.13904,0,1,3,1
"50_S5_T7",110,120,24.14286825,2.84759,2,3,3,0
"50_S5_T7",120,130,27.864733375,4.2307,0,5,1,0
"50_S5_T7",130,140,30.095346,0.976319999999998,0,0,2,1
"50_S5_T7",140,150,32.6934334166667,4.80022,0,3,1,0
"50_S5_T7",150,160,36.311569,1.13904,2,2,1,1
"50_S5_T7",160,170,38.413360375,4.71886,3,2,1,0
"50_S5_T7",170,180,41.831825,1.13903999999999,0,2,3,0
"50_S5_T7",180,183.083333333333,43.2680327027027,1.62719000000001,1,0,0,0
"50_S5_T7",20,30,8.9858908875,4.6375,3,5,1,0
"50_S5_T7",30,40,13.112862,2.4408,0,2,3,1
"50_S5_T7",40,50,15.987233,1.30176,1,3,1,1
"50_S5_T7",50,60,15.637385,-0.488160000000001,4,5,1,2
"50_S5_T7",60,70,16.285213125,2.52215,3,3,5,2
"50_S5_T7",70,80,18.440566,1.05768,2,2,0,2
"50_S5_T7",80,90,19.5565537916667,1.30175,2,4,0,0
"50_S5_T7",90,100,20.854576,1.05768,0,1,3,0
"50_S8_T2",10,20,5.75551653333333,1.360456,2,5,2,0
"50_S8_T2",100,110,31.5761636666667,2.24075,0,2,1,0
"50_S8_T2",110,120,34.3390882916667,2.48083,1,1,0,1
"50_S8_T2",120,130,34.9006109583333,0.160049999999998,1,1,2,0
"50_S8_T2",130,140,35.1813705833333,-0.640209999999996,2,4,2,3
"50_S8_T2",140,150,34.2877379166667,-1.2004,4,4,3,3
"50_S8_T2",150,160,33.9269505833333,0.160049999999998,4,3,2,1
"50_S8_T2",160,170,36.1900424583333,3.76126,3,5,0,0
"50_S8_T2",170,180,37.430125,0.400130000000004,2,0,2,0
"50_S8_T2",180,188.041666666667,38.4002595854922,2.64088,1,3,2,2
"50_S8_T2",20,30,11.6501569708333,8.963006,3,4,2,0
"50_S8_T2",30,40,15.4077494583333,-0.8803,4,1,1,2
"50_S8_T2",40,50,15.8298899583333,2.56086,1,2,3,0
"50_S8_T2",50,60,18.17767675,4.72158,0,1,0,0
"50_S8_T2",60,70,26.9326079166667,7.36246,2,5,2,0
"50_S8_T2",70,80,27.9599525416667,-1.92064,0,3,3,2
"50_S8_T2",80,90,29.3854295833333,5.28177000000001,3,1,2,0
"50_S8_T2",90,100,31.519144,-1.68056,2,0,0,1
